Classified State: PERIODIC       | Entropy:  0.2188 | LLE:  0.0081 | Params: {'alpha': 5.855046382353333, 'mu': 0.9078623510307351, 'gamma': 1.5784358065406343, 'p': 3.6540306680739807, 's': 0.8031958903660102} | R21: 0.2022 | phi21: 0.1440 | R31: 0.0586 | phi31: 0.2534 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 0.31951599789046137, 'mu': 9.99543590316105, 'gamma': 2.1682301009620106, 'p': 4.906162785038891, 's': 0.35278028270605666} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': -1.0979588473539912, 'mu': 6.6408174815468435, 'gamma': 4.679897545752654, 'p': 3.4988060217137136, 's': 2.3964109185352562} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 6.391153926023355, 'mu': 5.440770465014367, 'gamma': 1.5686422539196143, 'p': 2.7353843013693036, 's': 3.4155760884973754} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0022 | Params: {'alpha': 2.7197233123789495, 'mu': -0.18192868222390135, 'gamma': 3.4936912289374553, 'p': 0.6384020312593547, 's': 0.2510291719912183} | R21: 0.5000 | phi21: 4.7125 | R31: 0.3333 | phi31: 3.1418 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 7.636095818909208, 'mu': 2.1530442960253433, 'gamma': 2.2248181530643345, 'p': 4.554311131538419, 's': 1.1060368784923658} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.754607470999518, 'mu': 9.41297537871424, 'gamma': 0.17306596659453613, 'p': 1.2510687511005336, 's': 1.1152351415247785} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0033 | Params: {'alpha': 4.153522761950477, 'mu': -0.5802466910830795, 'gamma': 3.7174516388263124, 'p': 4.887931875435767, 's': 3.2188826993476276} | R21: 0.5000 | phi21: 4.7124 | R31: 0.3333 | phi31: 3.1416 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 7.087227113687261, 'mu': 9.774001377589038, 'gamma': 3.3975475507324613, 'p': 4.1864494202319715, 's': 2.5445491035033063} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy:  0.5020 | LLE:  0.0498 | Params: {'alpha': -1.6100858424903803, 'mu': 1.2003883316807098, 'gamma': 0.5767489952999136, 'p': 3.692756325114349, 's': 2.9033731265938396} | R21: 0.5848 | phi21: 0.3835 | R31: 0.3701 | phi31: 1.0160 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 3.6367832881302338, 'mu': 3.625863823369727, 'gamma': 3.012273513737799, 'p': 0.6955374550366, 's': 4.048309275138717} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.072354465399578, 'mu': 9.289796312890816, 'gamma': 3.914426398837151, 'p': 2.331583701282414, 's': 4.380277279446755} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 0.7660869474746779, 'mu': 6.386924302362461, 'gamma': 2.961562044662504, 'p': 1.0415673084284804, 's': 3.7000430214476623} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 2.844369765897831, 'mu': 2.8349158586886727, 'gamma': 4.008674772767369, 'p': 2.8396832961880483, 's': 3.1961337497169104} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 1.4061180366834667, 'mu': 2.6382869189689098, 'gamma': 0.9819506500873397, 'p': 2.7772902899795007, 's': 3.310406029278617} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 0.9397362240393408, 'mu': 1.830851901074043, 'gamma': 1.5871112807960537, 'p': 1.7609262358385824, 's': 0.8983995303292946} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.024518959031935, 'mu': 9.53619358099198, 'gamma': 2.5212077029584994, 'p': 1.603688829761346, 's': 4.517190856140958} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.67274707898289, 'mu': 5.340328638391258, 'gamma': 3.4792309759065185, 'p': 3.0128633078208304, 's': 4.078035931574921} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 1.2351086045792465, 'mu': 4.234104438568386, 'gamma': 2.5441413374096102, 'p': 3.6902952033852623, 's': 0.03858798134214192} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0028 | Params: {'alpha': 8.285667116519406, 'mu': -0.7495090300150324, 'gamma': 2.116617846403776, 'p': 1.470123217837061, 's': 4.935024315611291} | R21: 0.5000 | phi21: 4.7123 | R31: 0.3333 | phi31: 3.1414 | T_SKIP: 500 | T_END: 1000
Classified State: STABLE         | Entropy: -1.0000 | LLE: -0.5510 | Params: {'alpha': -1.2631926120776487, 'mu': -0.5110847361103166, 'gamma': 1.9646724684532866, 'p': 4.063156436932379, 's': 1.1377832283866436} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 9.037310256112148, 'mu': 3.628092921931584, 'gamma': 2.979105843962273, 'p': 0.27848005354580374, 's': 0.8770960550475021} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.35894859581645, 'mu': 6.315097498495237, 'gamma': 4.840555744771337, 'p': 1.5194926460108253, 's': 1.8437806387456974} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.205338676577362, 'mu': 2.769679020672472, 'gamma': 2.4397871415376975, 'p': 2.3103106852586732, 's': 4.624386278799168} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 9.043015516492751, 'mu': 9.187182966001318, 'gamma': 0.14507085705301898, 'p': 1.8341298587923427, 's': 1.9640463538326602} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0017 | Params: {'alpha': 9.659686999215896, 'mu': -0.48483250170760794, 'gamma': 0.31279674959084436, 'p': 4.484991487765586, 's': 3.7256712194255486} | R21: 0.5000 | phi21: 4.7123 | R31: 0.3333 | phi31: 3.1415 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 3.6813336985240976, 'mu': 4.2279492131104055, 'gamma': 4.181504013857908, 'p': 4.366969748729889, 's': 3.7962653520188394} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 2.5567371443205236, 'mu': 6.214533749261934, 'gamma': 2.8474895607994553, 'p': 0.8514047687031984, 's': 0.7760535067236202} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.0654 | LLE:  0.0053 | Params: {'alpha': 6.009318176912197, 'mu': 1.4643210150008832, 'gamma': 4.871035091447664, 'p': 4.19372808179356, 's': 2.1285418270491814} | R21: 0.0848 | phi21: 0.2398 | R31: 0.0077 | phi31: 3.5441 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 2.9569771955376343, 'mu': 1.8168537485521021, 'gamma': 2.7132781303287357, 'p': 1.1875439574064623, 's': 1.4149726009848462} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.1552 | LLE:  0.0047 | Params: {'alpha': 5.576041095321289, 'mu': 0.15272525822173555, 'gamma': 0.8514149335683995, 'p': 0.6654923542413932, 's': 3.5022861867834134} | R21: 0.0939 | phi21: 5.9632 | R31: 0.0274 | phi31: 4.4100 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.207849466136004, 'mu': 8.105557866656483, 'gamma': 1.7909247418310377, 'p': 3.3694752469941953, 's': 4.476678454567978} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.57095906339773, 'mu': 4.094529516917176, 'gamma': 3.7549730530729586, 'p': 1.5406390404986159, 's': 3.002167279859754} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.870716613171595, 'mu': 6.929439733999634, 'gamma': 1.692134448006102, 'p': 4.875290822198004, 's': 3.4437644738546287} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0012 | Params: {'alpha': 3.307652092051983, 'mu': -0.8394178279752447, 'gamma': 3.8106338275404648, 'p': 1.56702113136032, 's': 3.5081489150199534} | R21: 0.5000 | phi21: 4.7124 | R31: 0.3333 | phi31: 3.1416 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0005 | Params: {'alpha': 1.3305142709212263, 'mu': -0.8293782452822602, 'gamma': 2.2176372431188933, 'p': 0.8606856891195747, 's': 3.682323660305531} | R21: 0.5000 | phi21: 4.7126 | R31: 0.3333 | phi31: 3.1420 | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.2663 | LLE:  0.0054 | Params: {'alpha': 7.083370498498988, 'mu': 0.5104594939850555, 'gamma': 1.6773535241616135, 'p': 1.9392487256182283, 's': 1.6434450479656975} | R21: 0.1542 | phi21: 0.0799 | R31: 0.0228 | phi31: 0.1445 | T_SKIP: 500 | T_END: 1000
