Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0002 | Params: {'alpha': 0.604802, 'mu': -0.337696, 'gamma': 1.308151, 'p': 1.475000, 's': 1.350783} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: 0.2964 | LLE: -0.0815 | Params: {'alpha': -0.764837, 'mu': 0.490868, 'gamma': 1.491630, 'p': 1.742838, 's': 1.744376} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0007 | Params: {'alpha': 1.656336, 'mu': -0.799812, 'gamma': 2.244014, 'p': 1.267195, 's': 0.775197} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0002 | Params: {'alpha': 0.541826, 'mu': -0.303930, 'gamma': 0.940265, 'p': 0.660818, 's': 1.595761} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: 0.2729 | LLE: -0.1359 | Params: {'alpha': -0.936509, 'mu': 0.163799, 'gamma': 1.175156, 'p': 2.520244, 's': 0.880807} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC  | Actual State: PERIODIC      | Entropy: 0.4299 | LLE: 0.0016 | Params: {'alpha': -0.616318, 'mu': 0.760373, 'gamma': 2.228838, 'p': 1.095339, 's': 1.826767} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0005 | Params: {'alpha': 1.159743, 'mu': -0.043537, 'gamma': 1.000509, 'p': 1.887027, 's': 1.204525} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: QUASI_PERIODIC | Entropy: -1.0000 | LLE: 0.0199 | Params: {'alpha': 0.040131, 'mu': 0.173607, 'gamma': 1.651536, 'p': 2.635393, 's': 1.404305} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.3870 | Params: {'alpha': -0.711930, 'mu': -0.044865, 'gamma': 2.924862, 'p': 1.728277, 's': 0.650276} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0002 | Params: {'alpha': 0.633631, 'mu': -0.807463, 'gamma': 1.548977, 'p': 0.808717, 's': 1.800252} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0007 | Params: {'alpha': 1.606566, 'mu': -0.568002, 'gamma': 2.082241, 'p': 2.361933, 's': 0.831107} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.2609 | Params: {'alpha': -0.774926, 'mu': -0.453592, 'gamma': 0.144420, 'p': 2.285197, 's': 0.969104} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: QUASI_PERIODIC | Entropy: 0.6010 | LLE: 0.0276 | Params: {'alpha': -1.360349, 'mu': 0.525277, 'gamma': 1.242827, 'p': 0.515018, 's': 1.757003} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC  | Actual State: PERIODIC      | Entropy: 0.0886 | LLE: -0.0001 | Params: {'alpha': 1.506283, 'mu': 0.837921, 'gamma': 2.151134, 'p': 1.326663, 's': 1.233100} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.1256 | Params: {'alpha': -0.553091, 'mu': -0.957834, 'gamma': 2.503984, 'p': 0.826415, 's': 1.718600} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC  | Actual State: PERIODIC      | Entropy: 0.0886 | LLE: -0.0003 | Params: {'alpha': 1.817662, 'mu': 0.423993, 'gamma': 2.078302, 'p': 0.654425, 's': 0.697859} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0003 | Params: {'alpha': 0.647182, 'mu': -0.262593, 'gamma': 1.476029, 'p': 0.295222, 's': 0.703864} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.2451 | Params: {'alpha': -0.931042, 'mu': -0.977135, 'gamma': 2.156152, 'p': 0.948591, 's': 1.241234} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.1350 | Params: {'alpha': -0.234181, 'mu': -0.709060, 'gamma': 0.303785, 'p': 0.396097, 's': 1.658093} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC   | Actual State: QUASI_PERIODIC| Entropy: 0.6027 | LLE: 0.0376 | Params: {'alpha': -1.175821, 'mu': 0.978473, 'gamma': 1.268668, 'p': 1.808039, 's': 0.845807} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0002 | Params: {'alpha': 0.578836, 'mu': -0.302323, 'gamma': 0.806851, 'p': 0.691787, 's': 1.972169} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC  | Actual State: PERIODIC      | Entropy: 0.0886 | LLE: 0.0035 | Params: {'alpha': 1.221960, 'mu': 0.689878, 'gamma': 2.089274, 'p': 1.566860, 's': 1.882862} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC  | Actual State: PERIODIC      | Entropy: 0.3448 | LLE: 0.0044 | Params: {'alpha': 1.501864, 'mu': 0.779733, 'gamma': 2.568699, 'p': 2.955935, 's': 1.919677} | T_SKIP: 100 | T_END: 1000
